I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,5.714285714285714,40,1.4,0.7344285714285714,0.7482857142857142,1.4827142857142857,109.68224258275194,5.083187491801821e-06,0.9814814814814816
7.0,5.714285714285714,40,1.5,0.7344285714285714,0.7482857142857142,1.4827142857142857,111.74486049387446,4.937049169223586e-06,0.9814814814814816
7.0,8.571428571428571,20,1.1,0.7081428571428571,0.7534285714285714,1.4615714285714285,102.66664677456191,4.2236750581909465e-06,0.939893818733409
7.0,8.571428571428571,20,1.2,0.7081428571428571,0.7534285714285714,1.4615714285714285,105.16374456813821,4.099832104571717e-06,0.939893818733409
7.0,8.571428571428571,20,1.3,0.7081428571428571,0.7534285714285714,1.4615714285714285,107.49465184921638,3.990610245843561e-06,0.939893818733409
7.0,8.571428571428571,20,1.4,0.7081428571428571,0.7534285714285714,1.4615714285714285,109.68224258275194,3.893268545373659e-06,0.939893818733409
7.0,8.571428571428571,20,1.5,0.7081428571428571,0.7534285714285714,1.4615714285714285,111.74486049387446,3.8057396593819058e-06,0.939893818733409
7.0,8.571428571428571,30,1.1,0.7081428571428571,0.7534285714285714,1.4615714285714285,102.66664677456191,4.804914904209204e-06,0.939893818733409
7.0,8.571428571428571,30,1.2,0.7081428571428571,0.7534285714285714,1.4615714285714285,105.16374456813821,4.645285518066184e-06,0.939893818733409
7.0,8.571428571428571,30,1.3,0.7081428571428571,0.7534285714285714,1.4615714285714285,107.49465184921638,4.505563233000431e-06,0.939893818733409
7.0,8.571428571428571,30,1.4,0.7081428571428571,0.7534285714285714,1.4615714285714285,109.68224258275194,4.38186781406648e-06,0.939893818733409
7.0,8.571428571428571,30,1.5,0.7081428571428571,0.7534285714285714,1.4615714285714285,111.74486049387446,4.271302831964124e-06,0.939893818733409
7.0,8.571428571428571,40,1.1,0.7081428571428571,0.7534285714285714,1.4615714285714285,102.66664677456191,5.571656887627351e-06,0.939893818733409
7.0,8.571428571428571,40,1.2,0.7081428571428571,0.7534285714285714,1.4615714285714285,105.16374456813821,5.3581490204404e-06,0.939893818733409
7.0,8.571428571428571,40,1.3,0.7081428571428571,0.7534285714285714,1.4615714285714285,107.49465184921638,5.173106973068296e-06,0.939893818733409
7.0,8.571428571428571,40,1.4,0.7081428571428571,0.7534285714285714,1.4615714285714285,109.68224258275194,5.010703461665327e-06,0.939893818733409
7.0,8.571428571428571,40,1.5,0.7081428571428571,0.7534285714285714,1.4615714285714285,111.74486049387446,4.866649007642981e-06,0.939893818733409
7.0,11.428571428571429,20,1.1,0.6817142857142856,0.7585714285714286,1.4402857142857142,102.66664677456191,4.1621632232119165e-06,0.8986817325800376
7.0,11.428571428571429,20,1.2,0.6817142857142856,0.7585714285714286,1.4402857142857142,105.16374456813821,4.04012386651276e-06,0.8986817325800376
7.0,11.428571428571429,20,1.3,0.6817142857142856,0.7585714285714286,1.4402857142857142,107.49465184921638,3.932492669200937e-06,0.8986817325800376
7.0,11.428571428571429,20,1.4,0.6817142857142856,0.7585714285714286,1.4402857142857142,109.68224258275194,3.8365686124970405e-06,0.8986817325800376
7.0,11.428571428571429,20,1.5,0.6817142857142856,0.7585714285714286,1.4402857142857142,111.74486049387446,3.750314460550129e-06,0.8986817325800376
7.0,11.428571428571429,30,1.1,0.6817142857142856,0.7585714285714286,1.4402857142857142,102.66664677456191,4.734938135493812e-06,0.8986817325800376
7.0,11.428571428571429,30,1.2,0.6817142857142856,0.7585714285714286,1.4402857142857142,105.16374456813821,4.577633524889382e-06,0.8986817325800376
7.0,11.428571428571429,30,1.3,0.6817142857142856,0.7585714285714286,1.4402857142857142,107.49465184921638,4.439946096677778e-06,0.8986817325800376
7.0,11.428571428571429,30,1.4,0.6817142857142856,0.7585714285714286,1.4402857142857142,109.68224258275194,4.31805212603052e-06,0.8986817325800376
7.0,11.428571428571429,30,1.5,0.6817142857142856,0.7585714285714286,1.4402857142857142,111.74486049387446,4.209097366030916e-06,0.8986817325800376
7.0,11.428571428571429,40,1.1,0.6817142857142856,0.7585714285714286,1.4402857142857142,102.66664677456191,5.490513609721332e-06,0.8986817325800376
7.0,11.428571428571429,40,1.2,0.6817142857142856,0.7585714285714286,1.4402857142857142,105.16374456813821,5.280115181710499e-06,0.8986817325800376
7.0,11.428571428571429,40,1.3,0.6817142857142856,0.7585714285714286,1.4402857142857142,107.49465184921638,5.097768009234146e-06,0.8986817325800376
7.0,11.428571428571429,40,1.4,0.6817142857142856,0.7585714285714286,1.4402857142857142,109.68224258275194,4.9377296745684515e-06,0.8986817325800376
7.0,11.428571428571429,40,1.5,0.6817142857142856,0.7585714285714286,1.4402857142857142,111.74486049387446,4.7957731692949405e-06,0.8986817325800376
7.0,14.285714285714286,20,1.1,0.6551428571428571,0.7637142857142858,1.418857142857143,102.66664677456191,4.1002385571256465e-06,0.8578376356154133
7.0,14.285714285714286,20,1.2,0.6551428571428571,0.7637142857142858,1.418857142857143,105.16374456813821,3.980014902023879e-06,0.8578376356154133
7.0,14.285714285714286,20,1.3,0.6551428571428571,0.7637142857142858,1.418857142857143,107.49465184921638,3.873985041708363e-06,0.8578376356154133
